Designator,Mid X,Mid Y,Rotation,Layer
C1,108.8,-137.0,90.0,top
C10,113.0,-133.8,180.0,top
C11,110.65,-120.05,0.0,top
C12,107.8,-121.8,270.0,top
C13,135.75,-135.35,90.0,top
C14,137.5,-135.35,90.0,top
C15,115.2,-133.8,180.0,top
C16,146.5,-139.1,270.0,top
C17,148.25,-139.1,270.0,top
C18,99.0,-63.5439,270.0,top
C19,156.0,-72.2,270.0,top
C2,106.4,-123.78,270.0,top
C20,98.8,-111.0,270.0,top
C21,156.2,-119.8,270.0,top
C22,108.4,-65.4,270.0,top
C3,104.6,-135.696985,45.0,top
C4,103.8,-134.8,45.0,top
C5,107.6,-137.0,90.0,top
C6,103.4,-133.2,0.0,top
C7,103.0,-129.0,0.0,top
C8,107.4,-123.78,270.0,top
C9,114.1,-129.0,180.0,top
D1,132.2,-134.8,180.0,top
D2,144.4,-129.8,180.0,top
H3,163.8,-58.8,0.0,top
H4,99.0,-58.8,0.0,top
H5,163.8,-138.2,0.0,top
H6,99.2,-138.2,0.0,top
LCD1,131.4,-96.2,0.0,top
LED1,156.8,-131.8,180.0,top
LED2,156.95,-127.2,180.0,top
LED3,103.0,-64.74,0.0,top
LED4,103.0,-112.26,0.0,top
LED5,160.0,-73.5,0.0,top
LED6,160.0,-121.02,0.0,top
Q1,144.2,-65.8,180.0,top
R1,106.4,-137.0,90.0,top
R10,146.8,-66.83,180.0,top
R11,138.6,-125.0,0.0,top
R12,146.4,-65.2,270.0,top
R13,111.6,-62.8,180.0,top
R2,105.2,-137.0,90.0,top
R3,130.2,-138.2,270.0,top
R4,131.6,-138.2,270.0,top
R5,109.03,-124.6,180.0,top
R6,160.2,-134.8,180.0,top
R7,154.6,-136.8,90.0,top
R8,153.9,-131.75,0.0,top
R9,153.75,-127.2,0.0,top
SW1,158.6,-138.2,270.0,top
SW2,152.4,-138.2,270.0,top
SW3,103.0,-77.74,0.0,top
SW4,103.0,-99.26,0.0,top
SW5,160.0,-86.5,0.0,top
SW6,160.0,-108.02,0.0,top
U1,108.6,-130.0,180.0,top
U2,113.6,-135.75,270.0,top
U3,142.0,-137.37,270.0,top
U4,111.0,-65.4,0.0,top
U5,130.575,-59.645,180.0,top
USBC1,124.4,-137.28,0.0,top
X1,110.5,-122.35,180.0,top
